feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
k__Bacteria.p__Firmicutes.c__CFGB76790.o__OFGB76790.f__FGB76790.g__GGB30302.s__GGB30302_SGB43267	Group	Cyp7a1 CRISPR	2.91004457960738	0.861934843827696	19	9	0.00358803819435375	0.0473554058172165
k__Bacteria.p__Firmicutes.c__Clostridia.o__Eubacteriales.f__Christensenellaceae.g__GGB30455.s__GGB30455_SGB43519	Group	Cyp7a1 CRISPR	2.10749150690857	0.632682855487314	19	19	0.00395582116752287	0.0473554058172165
k__Bacteria.p__Firmicutes.c__Clostridia.o__Eubacteriales.f__Lachnospiraceae.g__Lachnospiraceae_unclassified.s__Lachnospiraceae_unclassified_SGB41424	Group	Cyp7a1 CRISPR	4.44899234088045	1.25670735298362	19	16	0.00251496470831973	0.0473554058172165
k__Bacteria.p__Firmicutes.c__Clostridia.o__Eubacteriales.f__Oscillospiraceae.g__GGB45514.s__GGB45514_SGB63186	Group	Cyp7a1 CRISPR	-2.72279982708893	0.81421556031356	19	18	0.00384591996525221	0.0473554058172165
k__Bacteria.p__Firmicutes.c__Clostridia.o__Eubacteriales.f__Oscillospiraceae.g__GGB75064.s__GGB75064_SGB43546	Group	Cyp7a1 CRISPR	-1.6531924704603	0.478284793637474	19	19	0.00301532656353775	0.0473554058172165
k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Rhodocyclales.f__Zoogloeaceae.g__Zoogloea.s__Zoogloea_SGB41465	Group	Cyp7a1 CRISPR	4.58277019415577	1.38993987980659	19	6	0.0042566656914352	0.0473554058172165
k__Bacteria.p__Firmicutes.c__Clostridia.o__Eubacteriales.f__Lachnospiraceae.g__Dorea.s__Dorea_sp_5_2	Group	Cyp7a1 CRISPR	2.27913538859784	0.715972551339611	19	18	0.00543981149679191	0.056958026260527
k__Bacteria.p__Firmicutes.c__Clostridia.o__Eubacteriales.f__Oscillospiraceae.g__GGB79680.s__GGB79680_SGB94989	Group	Cyp7a1 CRISPR	3.34407589671733	1.06479457563376	19	9	0.00596232740084996	0.0589607931861829
k__Bacteria.p__Bacteria_unclassified.c__Bacteria_unclassified.o__Bacteria_unclassified.f__Bacteria_unclassified.g__Bacteria_unclassified.s__bacterium_1xD8_48	Group	Cyp7a1 CRISPR	3.73946581121931	1.22230108070035	19	9	0.00709569099694913	0.064336098898577
k__Bacteria.p__Firmicutes.c__Clostridia.o__Eubacteriales.f__Oscillospiraceae.g__Anaerotruncus.s__Anaerotruncus_colihominis	Group	Cyp7a1 CRISPR	-2.4614048800474	0.806839438531802	19	11	0.00722877515714348	0.064336098898577
k__Bacteria.p__Firmicutes.c__CFGB76576.o__OFGB76576.f__FGB76576.g__GGB29546.s__GGB29546_SGB42338	Group	Cyp7a1 CRISPR	-1.93640280657092	0.646791591142105	19	6	0.00816082980176158	0.0676305525833707
k__Bacteria.p__Firmicutes.c__Clostridia.o__Eubacteriales.f__Oscillospiraceae.g__GGB30461.s__GGB30461_SGB43530	Group	Cyp7a1 CRISPR	3.84737876907451	1.29853462354756	19	11	0.0087176635876353	0.0676305525833707
k__Bacteria.p__Firmicutes.c__Clostridia.o__Eubacteriales.f__Oscillospiraceae.g__Oscillibacter.s__Oscillibacter_sp_1_3	Group	Cyp7a1 CRISPR	2.26134789044478	0.763523989597172	19	6	0.0087387792663906	0.0676305525833707
k__Bacteria.p__Firmicutes.c__Clostridia.o__Eubacteriales.f__Oscillospiraceae.g__GGB30463.s__GGB30463_SGB43537	Group	Cyp7a1 CRISPR	-1.96388410524921	0.673274277481726	19	18	0.00961157122630174	0.0712858199284045
k__Bacteria.p__Bacteria_unclassified.c__Bacteria_unclassified.o__Bacteria_unclassified.f__Bacteria_unclassified.g__GGB79854.s__GGB79854_SGB41664	Group	Cyp7a1 CRISPR	-4.47167193721201	1.58637318461261	19	16	0.0118276785634848	0.0822225001171531
k__Bacteria.p__Verrucomicrobia.c__Verrucomicrobiae.o__Verrucomicrobiales.f__Akkermansiaceae.g__Akkermansia.s__Akkermansia_muciniphila	Group	Cyp7a1 CRISPR	-1.20078058073636	0.427089966777982	19	19	0.0120100281069999	0.0822225001171531
k__Bacteria.p__Firmicutes.c__CFGB76314.o__OFGB76314.f__FGB76314.g__GGB28792.s__GGB28792_SGB41445	Group	Cyp7a1 CRISPR	0.973661172247235	0.351246913319127	19	7	0.0130510836253086	0.0829676030466046
k__Bacteria.p__Firmicutes.c__CFGB76790.o__OFGB76790.f__FGB76790.g__GGB30302.s__GGB30302_SGB43266	Group	Cyp7a1 CRISPR	-1.72430024667503	0.62141701448618	19	19	0.0129752670558711	0.0829676030466046
k__Bacteria.p__Bacteria_unclassified.c__Bacteria_unclassified.o__Bacteria_unclassified.f__Bacteria_unclassified.g__Bacteria_unclassified.s__bacterium_0_1xD8_82	Group	Cyp7a1 CRISPR	2.12920243661356	0.790047234774943	19	5	0.01533320468349	0.090977014455374
k__Bacteria.p__Firmicutes.c__CFGB9827.o__OFGB9827.f__FGB9827.g__GGB29531.s__GGB29531_SGB42317	Group	Cyp7a1 CRISPR	-1.13250590643987	0.417806095857639	19	18	0.0148427457334126	0.090977014455374
k__Bacteria.p__Firmicutes.c__CFGB9589.o__OFGB9589.f__FGB9589.g__GGB28829.s__GGB28829_SGB41485	Group	Cyp7a1 CRISPR	-7.05819376546915	2.64820279745205	19	11	0.0163140184785005	0.0936740415862287
k__Bacteria.p__Firmicutes.c__Clostridia.o__Eubacteriales.f__Oscillospiraceae.g__Neglectibacter.s__Neglectibacter_sp_X4	Group	Cyp7a1 CRISPR	2.39494963679139	0.942741598441815	19	11	0.0211224011313679	0.117493356293234
k__Bacteria.p__Firmicutes.c__Clostridia.o__Eubacteriales.f__Lachnospiraceae.g__Schaedlerella.s__Schaedlerella_arabinosiphila	Group	Cyp7a1 CRISPR	-1.48553955698703	0.599156484096815	19	18	0.0239355805330232	0.129107070753883
k__Bacteria.p__Firmicutes.c__Clostridia.o__Eubacteriales.f__Oscillospiraceae.g__Anaerotruncus.s__Anaerotruncus_sp_1XD42_93	Group	Cyp7a1 CRISPR	-2.85462037503286	1.15980162525233	19	13	0.0248350246245617	0.130018658328588
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Lactobacillaceae.g__GGB30087.s__GGB30087_SGB65084	Group	Cyp7a1 CRISPR	0.692434499839127	0.28560874054789	19	4	0.0267691532814449	0.13614026525992
k__Bacteria.p__Firmicutes.c__Clostridia.o__Eubacteriales.f__Eubacteriaceae.g__GGB28632.s__GGB28632_SGB41253	Group	Cyp7a1 CRISPR	-4.38685298746614	1.82494797193124	19	16	0.0279097448324393	0.137998182782617
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae.g__GGB24102.s__GGB24102_SGB44768	Group	Cyp7a1 CRISPR	2.80212867448079	1.1996901100015	19	8	0.0320154393623247	0.15402022179713
k__Bacteria.p__Bacteria_unclassified.c__Bacteria_unclassified.o__Bacteria_unclassified.f__Bacteria_unclassified.g__GGB79854.s__GGB79854_SGB41662	Group	Cyp7a1 CRISPR	2.30962985370601	1.00219840187405	19	9	0.0340750979423297	0.157256095095491
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Lactobacillaceae.g__Lactobacillus.s__Lactobacillus_johnsonii	Group	Cyp7a1 CRISPR	2.98123934417192	1.29674863638836	19	19	0.0344549871276637	0.157256095095491
k__Bacteria.p__Firmicutes.c__CFGB28820.o__OFGB28820.f__FGB28820.g__GGB28821.s__GGB28821_SGB41477	Group	Cyp7a1 CRISPR	4.86994054966142	2.15325805518395	19	9	0.0371144493662067	0.16515929967962
k__Bacteria.p__Bacteria_unclassified.c__Bacteria_unclassified.o__Bacteria_unclassified.f__Bacteria_unclassified.g__Bacteria_unclassified.s__Bacteria_unclassified_SGB41677	Group	Cyp7a1 CRISPR	-1.66847714886936	0.758109401888766	19	18	0.0418554676560279	0.177387458161261
k__Bacteria.p__Firmicutes.c__CFGB76077.o__OFGB76077.f__FGB76077.g__GGB28853.s__GGB28853_SGB41519	Group	Cyp7a1 CRISPR	1.50425558829416	0.682602850680596	19	4	0.0416200772433596	0.177387458161261
k__Bacteria.p__Firmicutes.c__Clostridia.o__Eubacteriales.f__Oscillospiraceae.g__GGB74395.s__GGB74395_SGB43523	Group	Cyp7a1 CRISPR	-2.37652898162666	1.096405055376	19	9	0.044679760890788	0.184953428803727
k__Bacteria.p__Firmicutes.c__Clostridia.o__Eubacteriales.f__Lachnospiraceae.g__GGB28763.s__GGB28763_SGB41411	Group	Cyp7a1 CRISPR	-1.74748959263336	0.811625342974009	19	18	0.0459635916544566	0.185943620783938
k__Bacteria.p__Firmicutes.c__Clostridia.o__Eubacteriales.f__Clostridiaceae.g__GGB30145.s__GGB30145_SGB43072	Group	Cyp7a1 CRISPR	-1.38955422618504	0.649952105065668	19	10	0.0473411222088376	0.187260438959402
k__Bacteria.p__Firmicutes.c__Clostridia.o__Eubacteriales.f__Oscillospiraceae.g__GGB30295.s__GGB30295_SGB43259	Group	Cyp7a1 CRISPR	-3.24804171444876	1.53315686381389	19	10	0.049161516335074	0.190233693644417
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Barnesiellaceae.g__Barnesiella.s__Barnesiella_sp_CU968	Group	Cyp7a1 CRISPR	-0.381206612961993	0.183046637415848	19	19	0.0527062599292162	0.194888535303668
k__Bacteria.p__Firmicutes.c__CFGB75900.o__OFGB75900.f__FGB75900.g__GGB45977.s__GGB45977_SGB41021	Group	Cyp7a1 CRISPR	1.25885114691432	0.602635306390398	19	10	0.0520644802940062	0.194888535303668
k__Bacteria.p__Firmicutes.c__Clostridia.o__Eubacteriales.f__Oscillospiraceae.g__GGB30473.s__GGB30473_SGB43557	Group	Cyp7a1 CRISPR	-0.422989412155246	0.204010507830439	19	19	0.0536490911790996	0.194888535303668
k__Bacteria.p__Actinobacteria.c__Actinomycetia.o__Streptomycetales.f__Streptomycetaceae.g__GGB30301.s__GGB30301_SGB43265	Group	Cyp7a1 CRISPR	-0.899176290794543	0.436252982156489	19	19	0.0549275203508935	0.195541972449181
k__Bacteria.p__Firmicutes.c__CFGB28980.o__OFGB28980.f__FGB28980.g__GGB28778.s__GGB28778_SGB41431	Group	Cyp7a1 CRISPR	-1.10210674183167	0.544654864312294	19	8	0.0590354383771279	0.200483821567737
k__Bacteria.p__Firmicutes.c__CFGB8152.o__OFGB8152.f__FGB8152.g__GGB28870.s__GGB28870_SGB41549	Group	Cyp7a1 CRISPR	-2.39536886716118	1.18763025357699	19	7	0.0597796687566187	0.200483821567737
k__Bacteria.p__Firmicutes.c__CFGB9644.o__OFGB9644.f__FGB9644.g__GGB28908.s__GGB28908_SGB41656	Group	Cyp7a1 CRISPR	1.25887510806243	0.626970324488647	19	13	0.0608209346329089	0.200483821567737
k__Bacteria.p__Firmicutes.c__Clostridia.o__Eubacteriales.f__Oscillospiraceae.g__Oscillibacter.s__Oscillibacter_SGB43505	Group	Cyp7a1 CRISPR	2.12111999142402	1.0467737833148	19	17	0.0587155156300043	0.200483821567737
k__Bacteria.p__Bacteria_unclassified.c__CFGB76313.o__OFGB76313.f__FGB76313.g__GGB28927.s__GGB28927_SGB41625	Group	Cyp7a1 CRISPR	1.74952466845892	0.889200002184009	19	11	0.0656583203018785	0.209232501184626
k__Bacteria.p__Firmicutes.c__CFGB76293.o__OFGB76293.f__FGB76293.g__GGB20149.s__GGB20149_SGB29430	Group	Cyp7a1 CRISPR	1.82836875811204	0.934366858186197	19	19	0.0670014189186723	0.209232501184626
k__Bacteria.p__Firmicutes.c__CFGB8157.o__OFGB8157.f__FGB8157.g__GGB28996.s__GGB28996_SGB41712	Group	Cyp7a1 CRISPR	-2.13757852849026	1.09006132128297	19	4	0.0664762463178962	0.209232501184626
k__Bacteria.p__Firmicutes.c__CFGB72709.o__OFGB72709.f__FGB72709.g__GGB30300.s__GGB30300_SGB43264	Group	Cyp7a1 CRISPR	-0.89088034891456	0.45967470738155	19	19	0.0694060775664317	0.213004858738359
k__Bacteria.p__Firmicutes.c__Clostridia.o__Eubacteriales.f__Oscillospiraceae.g__GGB5207.s__GGB5207_SGB43496	Group	Cyp7a1 CRISPR	2.78954782788245	1.44710365190919	19	14	0.0707728873497476	0.213518202512798
k__Bacteria.p__Bacteria_unclassified.c__Bacteria_unclassified.o__Bacteria_unclassified.f__Bacteria_unclassified.g__Bacteria_unclassified.s__bacterium_1XD42_76	Group	Cyp7a1 CRISPR	-0.69140360040937	0.363670872899542	19	19	0.074367886183062	0.217007930173525
k__Bacteria.p__Firmicutes.c__Clostridia.o__Eubacteriales.f__Oscillospiraceae.g__GGB30468.s__GGB30468_SGB43552	Group	Cyp7a1 CRISPR	-1.15458190478278	0.605105934720088	19	4	0.0734182723787492	0.217007930173525
k__Bacteria.p__Firmicutes.c__Clostridia.o__Eubacteriales.f__Lachnospiraceae.g__GGB75109.s__GGB75109_SGB102238	Group	Cyp7a1 CRISPR	-1.46859573747052	0.788695281740331	19	18	0.0799729943237175	0.228387405425786
k__Bacteria.p__Firmicutes.c__Clostridia.o__Eubacteriales.f__Oscillospiraceae.g__GGB30454.s__GGB30454_SGB43514	Group	Cyp7a1 CRISPR	2.33069640139157	1.25558308721599	19	17	0.0808337446169917	0.228387405425786
k__Bacteria.p__Firmicutes.c__CFGB76293.o__OFGB76293.f__FGB76293.g__GGB79698.s__GGB79698_SGB41545	Group	Cyp7a1 CRISPR	-2.13611147132353	1.16438702098925	19	18	0.0841368657788629	0.234005657947462
k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Eggerthellales.f__Eggerthellaceae.g__Adlercreutzia.s__Adlercreutzia_mucosicola	Group	Cyp7a1 CRISPR	2.48279788463802	1.36722342336704	19	17	0.087057646622342	0.23840401690426
k__Bacteria.p__Firmicutes.c__Erysipelotrichia.o__Erysipelotrichales.f__Erysipelotrichaceae.g__Faecalibaculum.s__Faecalibaculum_rodentium	Group	Cyp7a1 CRISPR	1.06408700412828	0.59020256963146	19	19	0.0891559234156171	0.24045082375727
k__Bacteria.p__Firmicutes.c__CFGB75988.o__OFGB75988.f__FGB75988.g__GGB79760.s__GGB79760_SGB63182	Group	Cyp7a1 CRISPR	1.56038459673812	0.873894607834606	19	17	0.0920228336356286	0.244478572942416
k__Bacteria.p__Firmicutes.c__Clostridia.o__Eubacteriales.f__Eubacteriales_unclassified.g__Eubacteriales_unclassified.s__Clostridiales_bacterium	Group	Cyp7a1 CRISPR	1.17482238899526	0.663062400544085	19	19	0.0943479562081243	0.246969650074208
k__Bacteria.p__Firmicutes.c__Clostridia.o__Eubacteriales.f__Lachnospiraceae.g__Sporofaciens.s__Sporofaciens_musculi	Group	Cyp7a1 CRISPR	-1.64409948210636	0.934736128578021	19	9	0.0965812135615624	0.249151536434175
k__Bacteria.p__Firmicutes.c__Clostridia.o__Eubacteriales.f__Lachnospiraceae.g__GGB28766.s__GGB28766_SGB41416	Group	Cyp7a1 CRISPR	-0.780723029871508	0.455283694430302	19	19	0.104550878539609	0.262420089886645
k__Bacteria.p__Firmicutes.c__Clostridia.o__Eubacteriales.f__Lachnospiraceae.g__Luxibacter.s__Luxibacter_massiliensis	Group	Cyp7a1 CRISPR	-2.29544153354338	1.33911194574166	19	7	0.104673181921078	0.262420089886645
k__Bacteria.p__Firmicutes.c__Clostridia.o__Eubacteriales.f__Oscillospiraceae.g__GGB30451.s__GGB30451_SGB43508	Group	Cyp7a1 CRISPR	-0.560948474233745	0.332731946968047	19	3	0.110082543005268	0.272148509096356
k__Bacteria.p__Firmicutes.c__Clostridia.o__Eubacteriales.f__Oscillospiraceae.g__GGB79857.s__GGB79857_SGB42426	Group	Cyp7a1 CRISPR	1.95836018977139	1.17673291809555	19	3	0.114387525517686	0.278917527974631
k__Bacteria.p__Firmicutes.c__Clostridia.o__Eubacteriales.f__Lachnospiraceae.g__Acetatifactor.s__Acetatifactor_muris	Group	Cyp7a1 CRISPR	1.40863147226121	0.872575510150267	19	19	0.12486072796994	0.300340669981748
k__Bacteria.p__Bacteria_unclassified.c__CFGB76138.o__OFGB76138.f__FGB76138.g__GGB79948.s__GGB79948_SGB41679	Group	Cyp7a1 CRISPR	0.893161272005669	0.556573577650279	19	19	0.126963970091295	0.301327822350006
k__Bacteria.p__Firmicutes.c__Clostridia.o__Eubacteriales.f__Lachnospiraceae.g__GGB28798.s__GGB28798_SGB41451	Group	Cyp7a1 CRISPR	0.241699458771679	0.151798517802921	19	2	0.129753554634478	0.303896483222857
k__Bacteria.p__Firmicutes.c__Clostridia.o__Eubacteriales.f__Lachnospiraceae.g__Lachnospiraceae_unclassified.s__Lachnospiraceae_bacterium_MD308	Group	Cyp7a1 CRISPR	0.826819043721433	0.524977682517062	19	5	0.133691160671186	0.309052293499625
k__Bacteria.p__Firmicutes.c__Clostridia.o__Eubacteriales.f__Oscillospiraceae.g__Oscillibacter.s__Oscillibacter_SGB43502	Group	Cyp7a1 CRISPR	2.20746175913525	1.4112679311163	19	9	0.136201171567301	0.310818058192045
k__Bacteria.p__Firmicutes.c__CFGB76293.o__OFGB76293.f__FGB76293.g__GGB28869.s__GGB28869_SGB41543	Group	Cyp7a1 CRISPR	-1.46226637943833	0.939875782891142	19	19	0.138173078356478	0.311326682879154
k__Bacteria.p__Firmicutes.c__CFGB76293.o__OFGB76293.f__FGB76293.g__GGB28875.s__GGB28875_SGB41555	Group	Cyp7a1 CRISPR	0.298584139456997	0.19444042108541	19	2	0.143036410435861	0.318256013219792
k__Bacteria.p__Firmicutes.c__Clostridia.o__Eubacteriales.f__Eubacteriales_Family_XIII_Incertae_Sedis.g__Emergencia.s__Emergencia_sp_1XD21_10	Group	Cyp7a1 CRISPR	0.901231652871129	0.594603742453004	19	18	0.147972222406601	0.321207994980182
k__Bacteria.p__Firmicutes.c__Clostridia.o__Eubacteriales.f__Oscillospiraceae.g__GGB42343.s__GGB42343_SGB59511	Group	Cyp7a1 CRISPR	0.310782206065393	0.2042706752727	19	2	0.146536053746546	0.321207994980182
k__Bacteria.p__Firmicutes.c__Clostridia.o__Eubacteriales.f__Lachnospiraceae.g__GGB28844.s__GGB28844_SGB102314	Group	Cyp7a1 CRISPR	-0.542098108517788	0.360081249264081	19	19	0.150552662245595	0.322871974454409
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Muribaculaceae.g__GGB28916.s__GGB28916_SGB41612	Group	Cyp7a1 CRISPR	3.37039020711372	2.31378116658378	19	13	0.163432961965079	0.342247849762166
k__Bacteria.p__Firmicutes.c__CFGB76308.o__OFGB76308.f__FGB76308.g__GGB28881.s__GGB28881_SGB41561	Group	Cyp7a1 CRISPR	0.639931486362153	0.437794244573073	19	5	0.162057856368182	0.342247849762166
k__Bacteria.p__Firmicutes.c__Clostridia.o__Eubacteriales.f__Lachnospiraceae.g__Lachnospiraceae_unclassified.s__Lachnospiraceae_bacterium_MD329	Group	Cyp7a1 CRISPR	-0.892603040198615	0.618254841097087	19	11	0.166986752267376	0.345623743065033
k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Eggerthellales.f__Eggerthellaceae.g__Adlercreutzia.s__Adlercreutzia_caecimuris	Group	Cyp7a1 CRISPR	-2.84783749033248	2.04026061277487	19	7	0.180732915892195	0.34800977557185
k__Bacteria.p__Bacteria_unclassified.c__Bacteria_unclassified.o__Bacteria_unclassified.f__Bacteria_unclassified.g__GGB28951.s__GGB28951_SGB102295	Group	Cyp7a1 CRISPR	-0.255182681100092	0.185032596379562	19	2	0.185732311050008	0.34800977557185
k__Bacteria.p__Bacteroidetes.c__CFGB2838.o__OFGB2838.f__FGB2838.g__GGB28403.s__GGB28403_SGB40190	Group	Cyp7a1 CRISPR	-0.25466835492382	0.184585271823171	19	2	0.185564129495753	0.34800977557185
k__Bacteria.p__Firmicutes.c__CFGB28820.o__OFGB28820.f__FGB28820.g__GGB75087.s__GGB75087_SGB102254	Group	Cyp7a1 CRISPR	-0.239450056117541	0.171601647511897	19	2	0.180862430583408	0.34800977557185
k__Bacteria.p__Firmicutes.c__CFGB76077.o__OFGB76077.f__FGB76077.g__GGB28851.s__GGB28851_SGB41518	Group	Cyp7a1 CRISPR	-2.13438596599365	1.55490333661146	19	11	0.187690665476953	0.34800977557185
k__Bacteria.p__Firmicutes.c__CFGB76322.o__OFGB76322.f__FGB76322.g__GGB28958.s__GGB28958_SGB41667	Group	Cyp7a1 CRISPR	0.455402421654766	0.329352464318851	19	2	0.184645807704888	0.34800977557185
k__Bacteria.p__Firmicutes.c__Clostridia.o__Eubacteriales.f__Lachnospiraceae.g__GGB28769.s__GGB28769_SGB41421	Group	Cyp7a1 CRISPR	-0.252989080029567	0.183128390225473	19	2	0.185018436853274	0.34800977557185
k__Bacteria.p__Firmicutes.c__Clostridia.o__Eubacteriales.f__Oscillospiraceae.g__GGB30297.s__GGB30297_SGB43261	Group	Cyp7a1 CRISPR	-0.241990303542937	0.173732759315288	19	2	0.181602903843063	0.34800977557185
k__Bacteria.p__Firmicutes.c__Clostridia.o__Eubacteriales.f__Oscillospiraceae.g__GGB45536.s__GGB45536_SGB63216	Group	Cyp7a1 CRISPR	1.53410608096715	1.11669760801341	19	19	0.187352821646685	0.34800977557185
k__Bacteria.p__Tenericutes.c__CFGB1791.o__OFGB1791.f__FGB1791.g__GGB31312.s__GGB31312_SGB44628	Group	Cyp7a1 CRISPR	1.57012206333663	1.12093698725348	19	11	0.179285946114034	0.34800977557185
k__Bacteria.p__Firmicutes.c__Clostridia.o__Eubacteriales.f__Clostridiaceae.g__GGB75085.s__GGB75085_SGB102286	Group	Cyp7a1 CRISPR	0.891426230836071	0.653069090730006	19	3	0.190053445318012	0.348757868727898
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridia_unclassified.f__Clostridia_unclassified.g__GGB75314.s__GGB75314_SGB102498	Group	Cyp7a1 CRISPR	-0.27724183255357	0.204657998294497	19	2	0.193257467355583	0.351018665196876
k__Bacteria.p__Bacteria_unclassified.c__Bacteria_unclassified.o__Bacteria_unclassified.f__Bacteria_unclassified.g__Bacteria_unclassified.s__Bacteria_unclassified_SGB41508	Group	Cyp7a1 CRISPR	0.706687644039381	0.532013383669931	19	3	0.201628127087829	0.353057044857521
k__Bacteria.p__Bacteria_unclassified.c__Bacteria_unclassified.o__Bacteria_unclassified.f__Bacteria_unclassified.g__Bacteria_unclassified.s__Bacteria_unclassified_SGB43541	Group	Cyp7a1 CRISPR	1.66957880143799	1.28299066500532	19	16	0.210510589839948	0.353057044857521
k__Bacteria.p__Bacteria_unclassified.c__CFGB8157.o__OFGB8157.f__FGB8157.g__GGB28898.s__GGB28898_SGB41580	Group	Cyp7a1 CRISPR	0.550812283053691	0.415913378162912	19	2	0.202919029653853	0.353057044857521
k__Bacteria.p__Firmicutes.c__CFGB75925.o__OFGB75925.f__FGB75925.g__GGB31439.s__GGB31439_SGB44769	Group	Cyp7a1 CRISPR	1.18102196478305	0.90336981313519	19	4	0.208499958250672	0.353057044857521
k__Bacteria.p__Firmicutes.c__CFGB76077.o__OFGB76077.f__FGB76077.g__GGB28841.s__GGB28841_SGB41505	Group	Cyp7a1 CRISPR	0.553594147041235	0.418460410241265	19	2	0.203378551406001	0.353057044857521
k__Bacteria.p__Firmicutes.c__CFGB76170.o__OFGB76170.f__FGB76170.g__GGB28392.s__GGB28392_SGB40972	Group	Cyp7a1 CRISPR	0.563089011626478	0.427161379496143	19	2	0.204919317328685	0.353057044857521
k__Bacteria.p__Firmicutes.c__CFGB9633.o__OFGB9633.f__FGB9633.g__GGB28883.s__GGB28883_SGB41564	Group	Cyp7a1 CRISPR	-0.952197842335005	0.737954072081769	19	9	0.214214386767485	0.353057044857521
k__Bacteria.p__Firmicutes.c__Clostridia.o__Eubacteriales.f__Lachnospiraceae.g__GGB28775.s__GGB28775_SGB41428	Group	Cyp7a1 CRISPR	1.475971573457	1.1387306663388	19	8	0.212243158908526	0.353057044857521
k__Bacteria.p__Firmicutes.c__Clostridia.o__Eubacteriales.f__Oscillospiraceae.g__Acutalibacter.s__Acutalibacter_sp_1XD8_36	Group	Cyp7a1 CRISPR	1.60585895413472	1.22972027241257	19	15	0.208991150318577	0.353057044857521
k__Bacteria.p__Firmicutes.c__Clostridia.o__Eubacteriales.f__Oscillospiraceae.g__GGB75055.s__GGB75055_SGB43513	Group	Cyp7a1 CRISPR	1.23363346065838	0.919613762201882	19	4	0.197414998211731	0.353057044857521
k__Bacteria.p__Firmicutes.c__Clostridia.o__Eubacteriales.f__Lachnospiraceae.g__GGB28844.s__GGB28844_SGB41511	Group	Cyp7a1 CRISPR	1.89682363324437	1.47710644846834	19	18	0.216315874182931	0.35324977618864
k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Coriobacteriales.f__Coriobacteriaceae.g__Parvibacter.s__Parvibacter_caecicola	Group	Cyp7a1 CRISPR	-0.352793979954301	0.276262438499942	19	2	0.218760969791627	0.353995023844633
