clade_name	clade_taxid	ETV364_8_filtered.fastq_profiled_metagenome	ETV364_7_filtered.fastq_profiled_metagenome	ETV364_50_filtered.fastq_profiled_metagenome	ETV364_38_filtered.fastq_profiled_metagenome	ETV364_37_filtered.fastq_profiled_metagenome	ETV364_36_filtered.fastq_profiled_metagenome	ETV364_35_filtered.fastq_profiled_metagenome	ETV364_33_filtered.fastq_profiled_metagenome	ETV364_32_filtered.fastq_profiled_metagenome	ETV364_30_filtered.fastq_profiled_metagenome	ETV364_3_filtered.fastq_profiled_metagenome	ETV364_29_filtered.fastq_profiled_metagenome	ETV364_21_filtered.fastq_profiled_metagenome	ETV364_20_filtered.fastq_profiled_metagenome	ETV364_17_filtered.fastq_profiled_metagenome	ETV364_16_filtered.fastq_profiled_metagenome	ETV364_15_filtered.fastq_profiled_metagenome	ETV364_12_filtered.fastq_profiled_metagenome	ETV364_1_filtered.fastq_profiled_metagenome
k__Bacteria|p__Actinobacteria|c__Acidimicrobiia	2|201174|84992	776440	151414	0	1104267	131725	686555	670694	369294	0	0	0	617902	79523	7988952	0	0	376992	0	0
k__Bacteria|p__Actinobacteria|c__Acidimicrobiia|o__Acidimicrobiales	2|201174|84992|84993	776440	151414	0	1104267	131725	686555	670694	369294	0	0	0	617902	79523	7988952	0	0	376992	0	0
k__Bacteria|p__Actinobacteria|c__Acidimicrobiia|o__Acidimicrobiales|f__Ilumatobacteraceae	2|201174|84992|84993|2448023	776440	151414	0	1104267	131725	686555	670694	369294	0	0	0	617902	79523	7988952	0	0	376992	0	0
k__Bacteria|p__Actinobacteria|c__Acidimicrobiia|o__Acidimicrobiales|f__Ilumatobacteraceae|g__GGB28818	2|201174|84992|84993|2448023|	776440	151414	0	1104267	131725	686555	670694	369294	0	0	0	617902	79523	7988952	0	0	376992	0	0
k__Bacteria|p__Actinobacteria|c__Acidimicrobiia|o__Acidimicrobiales|f__Ilumatobacteraceae|g__GGB28818|s__GGB28818_SGB41473	2|201174|84992|84993|2448023||	776440	151414	0	1104267	131725	686555	670694	369294	0	0	0	617902	79523	7988952	0	0	376992	0	0
k__Bacteria|p__Actinobacteria|c__Acidimicrobiia|o__Acidimicrobiales|f__Ilumatobacteraceae|g__GGB28818|s__GGB28818_SGB41473|t__SGB41473	2|201174|84992|84993|2448023|||	776440	151414	0	1104267	131725	686555	670694	369294	0	0	0	617902	79523	7988952	0	0	376992	0	0
k__Bacteria|p__Actinobacteria|c__Actinomycetia	2|201174|1760	17457	1374288	575700	110516	1352353	366896	218110	61210	474057	884985	74154	27537	91669	550832	22697	1373864	245168	2019497	2276420
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales	2|201174|1760|85004	0	1365439	572529	98196	1348220	340322	207665	0	460828	865273	62378	0	69370	260478	0	1367046	92118	2007903	2213202
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales|f__Bifidobacteriaceae	2|201174|1760|85004|31953	0	1365439	572529	98196	1348220	340322	207665	0	460828	865273	62378	0	69370	260478	0	1367046	92118	2007903	2213202
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium	2|201174|1760|85004|31953|1678	0	1365439	572529	98196	1348220	340322	207665	0	460828	865273	62378	0	69370	260478	0	1367046	92118	2007903	2213202
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_pseudolongum	2|201174|1760|85004|31953|1678|1694	0	1365439	572529	98196	1348220	340322	207665	0	460828	865273	62378	0	69370	260478	0	1367046	92118	2007903	2213202
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_pseudolongum|t__SGB17279	2|201174|1760|85004|31953|1678|1694|	0	1365439	572529	98196	1348220	340322	207665	0	460828	865273	62378	0	69370	260478	0	1367046	92118	2007903	2213202
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales|f__Micrococcaceae|g__GGB42949	2|201174|1760|85006|1268|	9368	0	0	0	0	22094	0	47592	0	0	0	17724	0	271991	0	0	115149	0	0
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales|f__Micrococcaceae|g__GGB42949|s__GGB42949_SGB43520	2|201174|1760|85006|1268||	9368	0	0	0	0	22094	0	47592	0	0	0	17724	0	271991	0	0	115149	0	0
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales|f__Micrococcaceae|g__GGB42949|s__GGB42949_SGB43520|t__SGB43520	2|201174|1760|85006|1268|||	9368	0	0	0	0	22094	0	47592	0	0	0	17724	0	271991	0	0	115149	0	0
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Streptomycetales|f__Streptomycetaceae|g__GGB30301	2|201174|1760|85011|2062|	8089	8849	3171	12320	4133	4480	10445	13618	13229	19712	11776	9813	22299	18363	22697	6818	37901	11594	63218
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Streptomycetales|f__Streptomycetaceae|g__GGB30301|s__GGB30301_SGB43265	2|201174|1760|85011|2062||	8089	8849	3171	12320	4133	4480	10445	13618	13229	19712	11776	9813	22299	18363	22697	6818	37901	11594	63218
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Streptomycetales|f__Streptomycetaceae|g__GGB30301|s__GGB30301_SGB43265|t__SGB43265	2|201174|1760|85011|2062|||	8089	8849	3171	12320	4133	4480	10445	13618	13229	19712	11776	9813	22299	18363	22697	6818	37901	11594	63218
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	385488	767572	51166	141326	129711	400599	295867	158320	69714	332799	462839	70972	27267	116780	268049	176563	264100	695344	384686
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales	2|201174|84998|84999	0	0	0	0	0	0	84710	0	0	0	0	0	0	0	0	0	34745	0	308408
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae	2|201174|84998|84999|1643824	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	308408
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae|g__Atopobiaceae_unclassified	2|201174|84998|84999|1643824|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	308408
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae|g__Atopobiaceae_unclassified|s__Atopobiaceae_bacterium_FL090493	2|201174|84998|84999|1643824||2661918	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	308408
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae|g__Atopobiaceae_unclassified|s__Atopobiaceae_bacterium_FL090493|t__SGB33580	2|201174|84998|84999|1643824||2661918|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	308408
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae	2|201174|84998|84999|84107	0	0	0	0	0	0	84710	0	0	0	0	0	0	0	0	0	34745	0	0
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Parvibacter	2|201174|84998|84999|84107|1427376	0	0	0	0	0	0	84710	0	0	0	0	0	0	0	0	0	34745	0	0
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Parvibacter|s__Parvibacter_caecicola	2|201174|84998|84999|84107|1427376|747645	0	0	0	0	0	0	84710	0	0	0	0	0	0	0	0	0	34745	0	0
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Parvibacter|s__Parvibacter_caecicola|t__SGB33555	2|201174|84998|84999|84107|1427376|747645|	0	0	0	0	0	0	84710	0	0	0	0	0	0	0	0	0	34745	0	0
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales	2|201174|84998|1643822	385488	767572	51166	141326	129711	400599	211157	158320	69714	332799	462839	70972	27267	116780	268049	176563	229355	695344	76278
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae	2|201174|84998|1643822|1643826	385488	767572	51166	141326	129711	400599	211157	158320	69714	332799	462839	70972	27267	116780	268049	176563	229355	695344	76278
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae|g__Adlercreutzia	2|201174|84998|1643822|1643826|447020	296995	506635	51166	141326	129711	211402	211157	158320	69714	171897	312021	48050	15765	116780	267576	147879	140724	162518	54584
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae|g__Adlercreutzia|s__Adlercreutzia_caecimuris	2|201174|84998|1643822|1643826|447020|671266	243292	4640	0	0	0	0	0	0	0	0	25476	0	0	0	267576	0	112044	16471	171
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae|g__Adlercreutzia|s__Adlercreutzia_caecimuris|t__SGB14802	2|201174|84998|1643822|1643826|447020|671266|	243292	4640	0	0	0	0	0	0	0	0	25476	0	0	0	267576	0	112044	16471	171
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae|g__Adlercreutzia|s__Adlercreutzia_equolifaciens	2|201174|84998|1643822|1643826|447020|446660	0	34930	25094	0	30719	75	1156	0	2339	0	0	0	0	1578	0	83115	0	80227	0
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae|g__Adlercreutzia|s__Adlercreutzia_equolifaciens|t__SGB14797	2|201174|84998|1643822|1643826|447020|446660|	0	34930	25094	0	30719	75	1156	0	2339	0	0	0	0	1333	0	83115	0	80227	0
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae|g__Adlercreutzia|s__Adlercreutzia_equolifaciens|t__SGB14798	2|201174|84998|1643822|1643826|447020|446660|	0	0	0	0	0	0	0	0	0	0	0	0	0	245	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae|g__Adlercreutzia|s__Adlercreutzia_mucosicola	2|201174|84998|1643822|1643826|447020|580026	53703	200245	26072	141326	98992	211327	210001	158320	45767	171897	465	48050	15765	115202	0	64764	28680	65820	0
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae|g__Adlercreutzia|s__Adlercreutzia_mucosicola|t__SGB33554	2|201174|84998|1643822|1643826|447020|580026|	53703	200245	26072	141326	98992	211327	210001	158320	45767	171897	465	48050	15765	115202	0	64764	28680	65820	0
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae|g__Adlercreutzia|s__Adlercreutzia_muris	2|201174|84998|1643822|1643826|447020|1796610	0	266820	0	0	0	0	0	0	21608	0	286080	0	0	0	0	0	0	0	54413
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae|g__Adlercreutzia|s__Adlercreutzia_muris|t__SGB33553	2|201174|84998|1643822|1643826|447020|1796610|	0	266820	0	0	0	0	0	0	21608	0	286080	0	0	0	0	0	0	0	54413
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae|g__Eggerthellaceae_unclassified	2|201174|84998|1643822|1643826|	0	96882	0	0	0	0	0	0	0	0	98050	0	0	0	0	0	51203	0	20915
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae|g__Eggerthellaceae_unclassified|s__Eggerthellaceae_bacterium	2|201174|84998|1643822|1643826||1972561	0	96882	0	0	0	0	0	0	0	0	98050	0	0	0	0	0	51203	0	20915
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae|g__Eggerthellaceae_unclassified|s__Eggerthellaceae_bacterium|t__SGB86230	2|201174|84998|1643822|1643826||1972561|	0	96882	0	0	0	0	0	0	0	0	98050	0	0	0	0	0	51203	0	20915
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae|g__Enterorhabdus	2|201174|84998|1643822|1643826|580024	88493	164055	0	0	0	189197	0	0	0	160902	52768	22922	11502	0	473	28684	37428	532826	779
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae|g__Enterorhabdus|s__Enterorhabdus_sp_P55	2|201174|84998|1643822|1643826|580024|2304571	88493	164055	0	0	0	189197	0	0	0	160902	52768	22922	11502	0	473	28684	37428	532826	779
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae|g__Enterorhabdus|s__Enterorhabdus_sp_P55|t__SGB42958	2|201174|84998|1643822|1643826|580024|2304571|	88493	164055	0	0	0	189197	0	0	0	160902	52768	22922	11502	0	473	28684	37428	532826	779
k__Bacteria|p__Bacteria_unclassified	2|	1108913	788704	615657	686667	471890	837302	775075	641981	743077	618683	444956	501232	982134	807533	1233239	2137583	582046	424365	1329733
k__Bacteria|p__Bacteria_unclassified|c__Bacteria_unclassified	2||	235752	86444	61156	363747	36349	202259	276013	235859	173773	114642	214766	243655	140193	330193	394118	177385	247725	87979	77831
k__Bacteria|p__Bacteria_unclassified|c__Bacteria_unclassified|o__Bacteria_unclassified	2|||	235752	86444	61156	363747	36349	202259	276013	235859	173773	114642	214766	243655	140193	330193	394118	177385	247725	87979	77831
k__Bacteria|p__Bacteria_unclassified|c__Bacteria_unclassified|o__Bacteria_unclassified|f__Bacteria_unclassified	2||||	235752	86444	61156	363747	36349	202259	276013	235859	173773	114642	214766	243655	140193	330193	394118	177385	247725	87979	77831
k__Bacteria|p__Bacteria_unclassified|c__Bacteria_unclassified|o__Bacteria_unclassified|f__Bacteria_unclassified|g__Bacteria_unclassified	2|||||	167118	61449	48096	241018	30102	133121	251928	202739	142156	77855	118818	203256	84252	134026	264330	125738	152102	62261	22049
k__Bacteria|p__Bacteria_unclassified|c__Bacteria_unclassified|o__Bacteria_unclassified|f__Bacteria_unclassified|g__Bacteria_unclassified|s__Bacteria_unclassified_SGB41508	2||||||	0	0	0	0	0	185	0	0	0	0	0	0	0	0	0	2188	0	701	0
k__Bacteria|p__Bacteria_unclassified|c__Bacteria_unclassified|o__Bacteria_unclassified|f__Bacteria_unclassified|g__Bacteria_unclassified|s__Bacteria_unclassified_SGB41508|t__SGB41508	2|||||||	0	0	0	0	0	185	0	0	0	0	0	0	0	0	0	2188	0	701	0
k__Bacteria|p__Bacteria_unclassified|c__Bacteria_unclassified|o__Bacteria_unclassified|f__Bacteria_unclassified|g__Bacteria_unclassified|s__Bacteria_unclassified_SGB41677	2||||||	89017	7929	25586	105555	9600	89214	30096	139434	41391	6586	91968	144375	56781	83433	219686	59417	133926	10829	0
k__Bacteria|p__Bacteria_unclassified|c__Bacteria_unclassified|o__Bacteria_unclassified|f__Bacteria_unclassified|g__Bacteria_unclassified|s__Bacteria_unclassified_SGB41677|t__SGB41677	2|||||||	89017	7929	25586	105555	9600	89214	30096	139434	41391	6586	91968	144375	56781	83433	219686	59417	133926	10829	0
k__Bacteria|p__Bacteria_unclassified|c__Bacteria_unclassified|o__Bacteria_unclassified|f__Bacteria_unclassified|g__Bacteria_unclassified|s__Bacteria_unclassified_SGB43541	2||||||	13064	14514	331	20630	6590	4269	167989	6131	49319	11995	550	7654	0	2214	0	22953	0	33066	10250
k__Bacteria|p__Bacteria_unclassified|c__Bacteria_unclassified|o__Bacteria_unclassified|f__Bacteria_unclassified|g__Bacteria_unclassified|s__Bacteria_unclassified_SGB43541|t__SGB43541	2|||||||	13064	14514	331	20630	6590	4269	167989	6131	49319	11995	550	7654	0	2214	0	22953	0	33066	10250
k__Bacteria|p__Bacteria_unclassified|c__Bacteria_unclassified|o__Bacteria_unclassified|f__Bacteria_unclassified|g__Bacteria_unclassified|s__Bacteria_unclassified_SGB44461	2||||||	0	0	0	23047	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteria_unclassified|c__Bacteria_unclassified|o__Bacteria_unclassified|f__Bacteria_unclassified|g__Bacteria_unclassified|s__Bacteria_unclassified_SGB44461|t__SGB44461	2|||||||	0	0	0	23047	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteria_unclassified|c__Bacteria_unclassified|o__Bacteria_unclassified|f__Bacteria_unclassified|g__Bacteria_unclassified|s__Bacteria_unclassified_SGB63107	2||||||	0	174	627	1923	0	26	0	0	52	331	0	0	0	0	0	0	0	503	0
k__Bacteria|p__Bacteria_unclassified|c__Bacteria_unclassified|o__Bacteria_unclassified|f__Bacteria_unclassified|g__Bacteria_unclassified|s__Bacteria_unclassified_SGB63107|t__SGB63107	2|||||||	0	174	627	1923	0	26	0	0	52	331	0	0	0	0	0	0	0	503	0
k__Bacteria|p__Bacteria_unclassified|c__Bacteria_unclassified|o__Bacteria_unclassified|f__Bacteria_unclassified|g__Bacteria_unclassified|s__bacterium_0_1xD8_82	2||||||2320100	0	3518	0	0	2210	0	0	0	379	1666	0	0	0	0	0	23237	0	0	0
k__Bacteria|p__Bacteria_unclassified|c__Bacteria_unclassified|o__Bacteria_unclassified|f__Bacteria_unclassified|g__Bacteria_unclassified|s__bacterium_0_1xD8_82|t__SGB29425	2||||||2320100|	0	3518	0	0	2210	0	0	0	379	1666	0	0	0	0	0	23237	0	0	0
k__Bacteria|p__Bacteria_unclassified|c__Bacteria_unclassified|o__Bacteria_unclassified|f__Bacteria_unclassified|g__Bacteria_unclassified|s__bacterium_1XD42_54	2||||||2320110	12208	2704	1684	9225	0	2960	5636	5885	1949	3299	3498	9519	3763	1403	2078	1684	253	0	0
k__Bacteria|p__Bacteria_unclassified|c__Bacteria_unclassified|o__Bacteria_unclassified|f__Bacteria_unclassified|g__Bacteria_unclassified|s__bacterium_1XD42_54|t__SGB29418	2||||||2320110|	12208	2704	1684	9225	0	2960	5636	5885	1949	3299	3498	9519	3763	1403	2078	1684	253	0	0
k__Bacteria|p__Bacteria_unclassified|c__Bacteria_unclassified|o__Bacteria_unclassified|f__Bacteria_unclassified|g__Bacteria_unclassified|s__bacterium_1XD42_76	2||||||2320881	52829	31484	12518	78101	11448	36316	44839	51289	16718	16537	22802	41708	23708	46976	42566	16259	17923	16156	11799
k__Bacteria|p__Bacteria_unclassified|c__Bacteria_unclassified|o__Bacteria_unclassified|f__Bacteria_unclassified|g__Bacteria_unclassified|s__bacterium_1XD42_76|t__SGB41647	2||||||2320881|	52829	31484	12518	78101	11448	36316	44839	51289	16718	16537	22802	41708	23708	46976	42566	16259	17923	16156	11799
k__Bacteria|p__Bacteria_unclassified|c__Bacteria_unclassified|o__Bacteria_unclassified|f__Bacteria_unclassified|g__Bacteria_unclassified|s__bacterium_1xD8_48	2||||||2320887	0	1126	7350	2537	254	151	3368	0	32348	37441	0	0	0	0	0	0	0	1006	0
k__Bacteria|p__Bacteria_unclassified|c__Bacteria_unclassified|o__Bacteria_unclassified|f__Bacteria_unclassified|g__Bacteria_unclassified|s__bacterium_1xD8_48|t__SGB41627	2||||||2320887|	0	1126	7350	2537	254	151	3368	0	32348	37441	0	0	0	0	0	0	0	1006	0
k__Bacteria|p__Bacteria_unclassified|c__Bacteria_unclassified|o__Bacteria_unclassified|f__Bacteria_unclassified|g__GGB28951	2|||||	2711	0	0	0	0	0	0	0	0	0	0	4161	0	0	0	0	0	0	0
k__Bacteria|p__Bacteria_unclassified|c__Bacteria_unclassified|o__Bacteria_unclassified|f__Bacteria_unclassified|g__GGB28951|s__GGB28951_SGB102295	2||||||	2711	0	0	0	0	0	0	0	0	0	0	4161	0	0	0	0	0	0	0
k__Bacteria|p__Bacteria_unclassified|c__Bacteria_unclassified|o__Bacteria_unclassified|f__Bacteria_unclassified|g__GGB28951|s__GGB28951_SGB102295|t__SGB102295	2|||||||	2711	0	0	0	0	0	0	0	0	0	0	4161	0	0	0	0	0	0	0
k__Bacteria|p__Bacteria_unclassified|c__Bacteria_unclassified|o__Bacteria_unclassified|f__Bacteria_unclassified|g__GGB28963	2|||||	417	0	1003	4866	0	2623	45	328	363	1222	6424	595	0	1200	1463	1237	3129	323	0
k__Bacteria|p__Bacteria_unclassified|c__Bacteria_unclassified|o__Bacteria_unclassified|f__Bacteria_unclassified|g__GGB28963|s__GGB28963_SGB41672	2||||||	417	0	1003	4866	0	2623	45	328	363	1222	6424	595	0	1200	1463	1237	3129	323	0
k__Bacteria|p__Bacteria_unclassified|c__Bacteria_unclassified|o__Bacteria_unclassified|f__Bacteria_unclassified|g__GGB28963|s__GGB28963_SGB41672|t__SGB41672	2|||||||	417	0	1003	4866	0	2623	45	328	363	1222	6424	595	0	1200	1463	1237	3129	323	0
k__Bacteria|p__Bacteria_unclassified|c__Bacteria_unclassified|o__Bacteria_unclassified|f__Bacteria_unclassified|g__GGB42601	2|||||	79	1042	0	0	0	40	1037	1000	3375	1967	380	1127	1364	0	0	3486	0	1194	711
k__Bacteria|p__Bacteria_unclassified|c__Bacteria_unclassified|o__Bacteria_unclassified|f__Bacteria_unclassified|g__GGB42601|s__GGB42601_SGB59797	2||||||	79	1042	0	0	0	40	1037	1000	3375	1967	380	1127	1364	0	0	3486	0	1194	711
k__Bacteria|p__Bacteria_unclassified|c__Bacteria_unclassified|o__Bacteria_unclassified|f__Bacteria_unclassified|g__GGB42601|s__GGB42601_SGB59797|t__SGB59797	2|||||||	79	1042	0	0	0	40	1037	1000	3375	1967	380	1127	1364	0	0	3486	0	1194	711
k__Bacteria|p__Bacteria_unclassified|c__Bacteria_unclassified|o__Bacteria_unclassified|f__Bacteria_unclassified|g__GGB79854	2|||||	65427	23953	12057	117863	6247	66475	23003	31792	27879	33598	89144	34516	54577	194967	128325	46924	92494	24201	55071
k__Bacteria|p__Bacteria_unclassified|c__Bacteria_unclassified|o__Bacteria_unclassified|f__Bacteria_unclassified|g__GGB79854|s__GGB79854_SGB41662	2||||||	0	942	12057	0	6247	0	4858	0	3435	10024	0	0	0	0	0	46924	0	24051	23735
k__Bacteria|p__Bacteria_unclassified|c__Bacteria_unclassified|o__Bacteria_unclassified|f__Bacteria_unclassified|g__GGB79854|s__GGB79854_SGB41662|t__SGB41662	2|||||||	0	942	12057	0	6247	0	4858	0	3435	10024	0	0	0	0	0	46924	0	24051	23735
k__Bacteria|p__Bacteria_unclassified|c__Bacteria_unclassified|o__Bacteria_unclassified|f__Bacteria_unclassified|g__GGB79854|s__GGB79854_SGB41664	2||||||	65427	23011	0	117863	0	66475	18145	31792	24444	23574	89144	34516	54577	194967	128325	0	92494	150	31336
k__Bacteria|p__Bacteria_unclassified|c__Bacteria_unclassified|o__Bacteria_unclassified|f__Bacteria_unclassified|g__GGB79854|s__GGB79854_SGB41664|t__SGB41664	2|||||||	65427	23011	0	117863	0	66475	18145	31792	24444	23574	89144	34516	54577	194967	128325	0	92494	150	31336
k__Bacteria|p__Bacteria_unclassified|c__CFGB49426|o__OFGB49426|f__FGB49426|g__GGB28888	2|||||	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35499	289
k__Bacteria|p__Bacteria_unclassified|c__CFGB49426|o__OFGB49426|f__FGB49426|g__GGB28888|s__GGB28888_SGB41569	2||||||	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35499	289
k__Bacteria|p__Bacteria_unclassified|c__CFGB49426|o__OFGB49426|f__FGB49426|g__GGB28888|s__GGB28888_SGB41569|t__SGB41569	2|||||||	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35499	289
k__Bacteria|p__Bacteria_unclassified|c__CFGB49426|o__OFGB49426|f__FGB49426|g__GGB28889	2|||||	151408	29600	69683	32593	116592	33440	7907	19690	177373	26830	0	22281	304113	9930	181049	402490	0	0	0
k__Bacteria|p__Bacteria_unclassified|c__CFGB49426|o__OFGB49426|f__FGB49426|g__GGB28889|s__GGB28889_SGB41570	2||||||	151408	29600	69683	32593	116592	33440	7907	19690	177373	26830	0	22281	304113	9930	181049	402490	0	0	0
k__Bacteria|p__Bacteria_unclassified|c__CFGB49426|o__OFGB49426|f__FGB49426|g__GGB28889|s__GGB28889_SGB41570|t__SGB41570	2|||||||	151408	29600	69683	32593	116592	33440	7907	19690	177373	26830	0	22281	304113	9930	181049	402490	0	0	0
